id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
STRN4	4	1.6944e-06	4.4032e-06	0.084158	1	4	-1.5958	0.99344	0.99348	1.0	18964	0	-1.5958
LRIG2	4	3.9335e-06	1.1138e-05	0.106436	2	4	-0.74823	1.0	1.0	1.0	19112	0	-0.74823
GATAD2A	4	1.915e-05	6.8638e-05	0.436881	3	3	-0.92514	0.79808	0.80066	1.0	15161	1	-0.92514
MMP11	4	2.6252e-05	9.1431e-05	0.436881	4	1	0.12579	0.16763	0.31243	1.0	5879	2	0.12579
ERP27	4	4.9537e-05	0.00018209	0.526874	5	4	-0.72812	0.99995	0.99995	1.0	19111	0	-0.72812
GPAA1	4	5.084e-05	0.00018571	0.526874	6	3	-0.8386	0.71936	0.74123	1.0	14026	1	-0.8386
PHLPP2	4	5.2823e-05	0.00019296	0.526874	7	2	-0.3525	0.21079	0.35601	1.0	6724	2	-0.3525
SETBP1	4	6.7071e-05	0.00025202	0.602104	8	4	-0.96877	0.99993	0.99994	1.0	19110	0	-0.96877
PDK2	4	7.8753e-05	0.00030175	0.604455	9	2	-0.00019519	0.051144	0.12448	0.991161	2394	2	-0.00019519
ID3	4	8.2217e-05	0.00031625	0.604455	10	4	-0.77202	0.99951	0.99952	1.0	19099	0	-0.77202
CLEC10A	4	0.00011158	0.00042348	0.719059	11	4	-0.69176	0.99989	0.99989	1.0	19109	0	-0.69176
OR52E4	4	0.00011709	0.00045146	0.719059	12	3	-1.1027	0.9441	0.944	1.0	17998	0	-1.1027
FAM120AOS	4	0.00013125	0.00050896	0.748286	13	2	-0.021626	0.24419	0.38953	1.0	7356	2	-0.021626
NTNG1	4	0.0001593	0.00061205	0.763452	14	4	-0.69786	0.99751	0.99752	1.0	19056	0	-0.69786
SLC7A5	4	0.00017524	0.00066747	0.763452	15	4	-0.89229	0.99982	0.99983	1.0	19108	0	-0.89229
