sgRNA	Gene	BM	CNS
BruLib42248	RNF121	185475.52291879378	1423.1535405570264
BruLib22268	LMO4	1005.5058428472705	364.97397167469353
BruLib41380	FKBP14	13180.470401317245	14.696938456699067
BruLib11750	CITED1	279500.92582673137	293.93876913398134
BruLib9030	HTR1F	7154.506412045487	188.6107101943047
BruLib37578	PAM16	376457.9934494684	825.478043317931
BruLib58874	ZFP3	250276.20256029136	514.3928459844674
BruLib18293	SSTR4	5347.141479332672	7.348469228349534
BruLib43515	EMC3	163819.67063817458	323.33264604737946
BruLib51092	TET1	79343.03770338012	146.96938456699067
BruLib20351	XPNPEP1	53714.65952605489	56.33826408401309
BruLib49401	CCNJL	146842.03682188556	328.2316255329458
BruLib77103	Non-Targeting Control	87695.38300275561	149.41887430977386
BruLib59116	MFSD12	59767.493573011736	11323.991080886632
BruLib46518	SQRDL	10947.427186330127	24.49489742783178
BruLib52965	ZNRF3	151978.46048042463	259.64591273501685
BruLib65700	ALKBH3	188787.61108187155	198.4086691654374
BruLib47113	GPATCH3	5812.41774135342	12.24744871391589
BruLib11210	MC5R	279418.9014401137	484.9989690710692
BruLib27945	ATP8A1	49685.565086853945	90.63112048297758
BruLib53507	FAM195A	65169.78938127696	90.63112048297758
BruLib48532	CAPRIN2	119930.96694348795	176.36326148038881
BruLib10723	PRICKLE3	120820.50727422062	173.91377173760563
BruLib65043	C8orf74	34255.08090780111	41.641325627314025
BruLib23020	PEX11A	7696.150206434382	14.696938456699067
BruLib22084	PRSS12	201388.25392261584	2150.65199416363
BruLib19128	TGM2	318859.90348113695	387.0193793597421
BruLib73456	TIFAB	192638.5146122135	298.8377486195477
BruLib17434	SLC1A3	49520.10210005629	198.4086691654374
BruLib24809	ABCG2	12172.136131345227	24.49489742783178
BruLib38511	ARL17A	489440.9291610173	923.4576330292581
BruLib24281	MSC	41221.49691605097	36.74234614174767
BruLib46727	EVA1C	156721.732768624	230.25203582161873
BruLib34190	SEC31B	379.00923471598946	0.0
BruLib35674	PALD1	256430.85998373906	303.7367281051141
BruLib59020	ZNF441	86999.58993006805	90.63112048297758
BruLib13177	P2RX3	138998.8084049644	134.7219358530748
BruLib32219	KIAA0556	142517.37174814864	220.45407685048602
BruLib30016	CYB561D2	42805.41610590884	61.23724356957945
BruLib35312	STEAP1	211031.77620443798	215.55509736491965
BruLib20645	ZNF121	39129.875057301164	34.29285639896449
BruLib7910	GSTP1	263414.2465547374	2772.8223888305574
BruLib48331	MRPL32	61557.88794297608	93.08061022576076
BruLib12916	DDR2	7846.056844045931	17.146428199482244
BruLib7737	GRIK2	3787.263920035148	14.696938456699067
BruLib31317	PTGR1	32661.262223006626	29.393876913398135
BruLib12162	NAB1	10303.96001545037	769.1397792339178
BruLib62088	SLC30A7	46492.270863015496	173.91377173760563
BruLib6471	FLT1	132322.306177001	159.21683328090657
BruLib18472	SULT1A1	22395.48597374033	58.78775382679627
BruLib11946	MVD	58300.95410883084	93.08061022576076
BruLib29508	PNPLA6	11638.977618330571	17.146428199482244
BruLib55801	DERL3	28970.16482521285	51.43928459844673
BruLib25069	LITAF	21414.021761453405	110.22703842524301
BruLib18068	SPINK1	30800.157174923635	41.641325627314025
BruLib67069	MDGA1	60584.909012063385	75.93418202627852
BruLib59109	MOB3A	62201.35511385583	869.5688586880282
BruLib49172	OR51B2	58182.1601695915	115.12601791080937
BruLib76963	Non-Targeting Control	36155.78393563054	39.191835884530846
BruLib61785	APCDD1	122687.2691765531	227.80254607883555
BruLib13900	SERPINB5	94882.41632673568	156.76734353812338
BruLib46177	EPB41L5	4306.280297426074	51.43928459844673
BruLib45129	LYRM1	4480.228565597965	51.43928459844673
BruLib36	AARS	118693.53007641148	205.75713839378693
BruLib12566	NFRKB	52501.264289538776	63.68673331236263
BruLib44598	PAK6	97312.03522689267	117.57550765359254
BruLib58066	PSTK	76322.27753415119	90.63112048297758
BruLib10	NAT1	797.6164491784256	0.0
BruLib47473	KIF9	89085.55493456837	122.4744871391589
BruLib6811	GAD2	59145.23960556758	115.12601791080937
BruLib41749	ARMC1	26708.837338978272	48.98979485566356
BruLib17681	SLC20A2	65278.68382557969	105.32805893967665
BruLib10046	KCNJ8	2374.4645712244264	73.48469228349533
BruLib40340	PARP14	1281.277487510024	220.45407685048602
BruLib33903	TECPR1	105233.04538974437	156.76734353812338
BruLib55833	CCDC74B	603078.645751945	815.6800843467983
BruLib23437	MBD2	29885.16100006824	105.32805893967665
BruLib9705	IRF3	84356.42478199274	1067.9775278534655
BruLib14985	PROC	273757.8045499342	355.1760127035608
BruLib62352	CBWD2	40415.39518549831	61.23724356957945
BruLib3153	CHGB	97980.95824189513	97.97958971132712
BruLib18906	TECTB	22979.55617500042	66.1362230551458
BruLib17650	SLC16A2	95702.66019291208	161.66632302368973
BruLib54784	ATCAY	58192.05966452811	102.87856919689347
BruLib52031	SLIRP	36457.011424416014	48.98979485566356
BruLib56535	TPTE2	257539.60341663958	311.0851973334636
BruLib12215	CEACAM6	77743.56216433615	107.77754868245982
BruLib41722	UBR7	56883.912119333	51.43928459844673
BruLib35618	DKK3	14111.02292535874	61.23724356957945
BruLib8795	HPD	68722.29384995818	350.2770332179944
BruLib67208	TRIM49B	117393.86781259062	117.57550765359254
BruLib63899	TRIM60	76008.32212330436	88.18163074019441
BruLib76806	Non-Targeting Control	345168.51838196366	438.4586639581888
BruLib3624	COL9A2	167189.74155730967	230.25203582161873
BruLib76624	Non-Targeting Control	347.89653634378135	2.449489742783178
BruLib62329	NFAM1	160006.9508740167	1038.5836509400674
BruLib63921	RBM46	25086.73438293633	22.045407685048602
BruLib34968	FGF21	6977.7297167488505	4.898979485566356
BruLib41421	C19orf60	89870.44346168544	195.95917942265424
BruLib63519	FAM134C	276429.253969257	318.43366656181314
BruLib9907	JAK3	247946.99282306287	308.6357075906804
BruLib50470	CEP76	47250.28933244747	63.68673331236263
BruLib53369	CAPNS2	21669.994416242935	120.02499739637571
BruLib47753	MTMR14	22162.14073594877	3943.6784858809165
BruLib59325	TPRG1L	141204.98156226642	279.2418306772823
BruLib63195	FMR1NB	151705.51726288663	1369.2647662157965
BruLib76625	Non-Targeting Control	96630.38428982883	137.17142559585795
BruLib51475	TUBB1	73766.793626943	232.7015255644019
BruLib77298	Non-Targeting Control	2620.5377310773447	0.0
BruLib19184	KLF10	126569.28540526725	176.36326148038881
BruLib41382	FKBP14	6621.34789903083	2.449489742783178
BruLib21814	OR3A3	16155.975736550236	26.944387170614956
BruLib72086	TMEM200B	57726.78340250736	3042.266260536707
BruLib64128	ARX	485721.54749197606	1004.290794541103
BruLib11335	MEIS1	37608.18126418771	289.03978964841497
BruLib10343	KRT9	209157.94323429363	203.30764865100377
BruLib16293	RPE65	34564.79367796081	51.43928459844673
BruLib44209	GKN1	61825.17430626459	115.12601791080937
BruLib62922	AMOT	145706.42333129997	2329.464745386802
BruLib65690	LRRN4CL	7154.506412045487	17.146428199482244
BruLib20284	WNT7B	7601.397897755385	124.92397688194207
BruLib77002	Non-Targeting Control	4894.593139373282	7.348469228349534
BruLib61387	B3GALTL	45448.58125398415	66.1362230551458
BruLib65848	HIST1H2AA	27340.990801359043	2951.635140053729
BruLib39955	MOV10L1	357.79603128039304	0.0
BruLib757	AMT	70802.602000209	237.60050504996826
BruLib9930	ANOS1	73201.10820199376	178.81275122317197
BruLib3776	CPB1	77708.20682527682	178.81275122317197
BruLib73864	CTAGE9	1578.2623356083739	531.5392741839496
BruLib70225	PRSS41	32273.7677069164	127.37346662472525
BruLib44054	PCDHA1	14723.377397866292	17.146428199482244
BruLib51258	SRCIN1	1626.3455967290593	2.449489742783178
BruLib31184	EPN2	122209.264992471	137.17142559585795
BruLib73503	LURAP1	60425.10287951522	867.119368945245
BruLib58465	ANKRD9	33924.1549342058	240.04999479275142
BruLib51885	DOCK8	129331.2444925819	524.1908049556
BruLib62216	FAM71A	113554.27799074765	2197.1922992765108
BruLib18778	TBX15	19463.821258940905	14.696938456699067
BruLib19255	TLE4	123469.32927654542	2451.939232525961
BruLib67264	KCTD21	29377.4583311763	144.51989482420748
BruLib21895	LTBP4	13944.145724998716	19.595917942265423
BruLib44752	PRDM8	175598.65539918008	935.705081743174
BruLib7516	NPBWR1	28598.226658308726	58.78775382679627
BruLib58395	ERP27	178470.92314435984	2309.8688274445367
BruLib10166	KIF5B	130369.27724736376	115.12601791080937
