id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	889	-1.9144e+148	2.671e-07	0.00495	1	0	0.0	4.2095e-105	2.671e-07	0.00495	1	0	0.0
TSPO2	4	1.6808e-05	6.3838e-05	0.295792	2	4	-6.9851	0.99998	0.99998	0.999981	18534	0	-6.9851
NUBP2	2	2.0725e-05	3.2854e-05	0.295792	3	1	-6.3255	0.30889	0.30885	0.915138	5284	0	-6.3255
AKAP7	2	3.1895e-05	4.888e-05	0.295792	4	2	-10.296	0.99997	0.99996	0.999981	18533	0	-10.296
C1orf52	3	4.4704e-05	0.00014611	0.349629	5	2	-10.702	0.68195	0.68195	0.923281	11233	0	-10.702
NLRP7	3	4.664e-05	0.00015091	0.349629	6	3	-9.8893	0.98961	0.98973	0.999945	18305	0	-9.8893
CSRNP1	2	6.2174e-05	0.00011085	0.342409	7	1	-6.2885	0.80469	0.80412	0.923281	15760	0	-6.2885
UFSP2	1	9.3262e-05	9.0014e-05	0.333663	8	1	-11.685	0.99991	0.99991	0.999981	18532	0	-11.685
PTCHD4	2	0.00010362	0.00020006	0.411991	9	1	-4.0308	0.016244	0.018925	0.901958	444	1	-4.0308
PRB2	4	0.0001148	0.00043725	0.528775	10	4	-5.3186	0.99989	0.99989	0.999981	18531	0	-5.3186
C11orf24	3	0.00013603	0.00041321	0.528775	11	3	-10.072	0.99986	0.99986	0.999981	18530	0	-10.072
CREM	2	0.00013931	0.00027004	0.500495	12	2	-10.222	0.99986	0.99985	0.999981	18529	0	-10.222
SPINK1	2	0.00020479	0.00041615	0.528775	13	2	-9.8665	0.9998	0.99979	0.999981	18528	0	-9.8665
GPR75-ASB3	2	0.00021318	0.00042924	0.528775	14	2	-10.081	0.99979	0.99978	0.999981	18527	0	-10.081
ETV6	4	0.00022038	0.00082188	0.639821	15	3	-7.3595	0.7829	0.78269	0.923281	14570	0	-7.3595
GRIA2	2	0.00022796	0.00045648	0.528775	16	1	-5.6164	0.53406	0.53436	0.923281	9400	0	-5.6164
PLA2G4D	2	0.00024581	0.00049494	0.539604	17	2	-10.119	0.99975	0.99975	0.999981	18526	0	-10.119
FKBP14	4	0.00026076	0.00096024	0.639821	18	3	-5.6656	0.96185	0.96192	0.994548	17841	0	-5.6656
BTLA	4	0.00029012	0.0010617	0.639821	19	1	0.020264	0.52237	0.52197	0.923281	7925	0	0.020264
SPATA24	1	0.00030051	0.00030316	0.510801	20	1	-12.011	0.9997	0.99973	0.999981	18525	0	-12.011
INS	3	0.00030169	0.000894	0.639821	21	2	-9.683	0.029121	0.036443	0.915138	663	1	-9.683
TENM3	4	0.00030252	0.0011093	0.639821	22	4	-3.504	0.9997	0.99969	0.999981	18524	0	-3.504
GPM6A	3	0.00030671	0.00090361	0.639821	23	3	-9.8326	0.99969	0.99969	0.999981	18523	0	-9.8326
EMX2	4	0.00038481	0.0014042	0.639821	24	3	-5.6798	0.96185	0.96192	0.994548	17920	0	-5.6798
EPB41L5	3	0.00040079	0.0011857	0.639821	25	3	-7.0737	0.9996	0.9996	0.999981	18522	0	-7.0737
SIRT5	2	0.00043518	0.00085446	0.639821	26	2	-6.8091	0.92587	0.9257	0.97872	17399	0	-6.8091
CISD1	2	0.00045568	0.00089773	0.639821	27	2	-9.5297	0.99954	0.99954	0.999981	18521	0	-9.5297
C9orf106	3	0.00046624	0.0013945	0.639821	28	2	-1.5716	0.91368	0.91376	0.97872	17153	0	-1.5716
CPB1	2	0.00048855	0.00097199	0.639821	29	2	-9.8205	0.99951	0.99951	0.999981	18520	0	-9.8205
ALKBH6	2	0.00049683	0.00098962	0.639821	30	2	-9.4602	0.9995	0.9995	0.999981	18519	0	-9.4602
WDTC1	2	0.00051925	0.0010233	0.639821	31	2	-9.8971	0.99948	0.99948	0.999981	18518	0	-9.8971
CPLX2	4	0.00053874	0.0019624	0.713162	32	2	-1.5071	0.7829	0.78269	0.923281	13799	0	-1.5071
SUCO	3	0.0005725	0.0016766	0.695545	33	3	-4.9981	0.99943	0.99944	0.999981	18517	0	-4.9981
NSMF	3	0.00059055	0.001729	0.695545	34	2	-1.5716	0.91368	0.91376	0.97872	16683	0	-1.5716
C2orf66	3	0.00063694	0.0018657	0.695545	35	3	-4.4938	0.99936	0.99938	0.999981	18516	0	-4.4938
SYT6	2	0.00068381	0.0013422	0.639821	36	1	-5.9786	0.80469	0.80412	0.923281	15310	0	-5.9786
BLOC1S1	2	0.00070648	0.0013801	0.639821	37	2	-8.59	0.99929	0.9993	0.999981	18515	0	-8.59
LGI1	2	0.00071477	0.0013978	0.639821	38	2	-8.6149	0.99929	0.99929	0.999981	18514	0	-8.6149
EBF4	3	0.00071484	0.0020714	0.73829	39	1	0.020264	0.42546	0.42559	0.923281	7488	0	0.020264
RBL2	2	0.00072524	0.0014154	0.639821	40	2	-7.2563	0.98431	0.98439	0.999945	18243	0	-7.2563
CKAP5	1	0.00075646	0.00075243	0.639821	41	1	-11.701	0.99924	0.99927	0.999981	18513	0	-11.701
LRRC75B	2	0.00076668	0.0014928	0.658769	42	1	-5.6651	0.53406	0.53436	0.923281	10298	0	-5.6651
ABCB10	4	0.00077167	0.0027926	0.822307	43	4	-2.8674	0.99923	0.99922	0.999981	18511	0	-2.8674
C16orf97	4	0.00077167	0.0027926	0.822307	44	4	-4.309	0.99923	0.99922	0.999981	18512	0	-4.309
MIPOL1	3	0.00077698	0.0022546	0.766458	45	2	-1.9849	0.68195	0.68195	0.923281	11349	0	-1.9849
LOC441155	1	0.00079791	0.00079463	0.639821	46	1	-10.624	0.9992	0.99923	0.999981	18510	0	-10.624
CLIP4	3	0.00080849	0.0023385	0.766458	47	2	-9.8899	0.91368	0.91376	0.97872	16422	0	-9.8899
IGLL5	2	0.00091871	0.0017738	0.695545	48	2	-8.9072	0.99908	0.99908	0.999981	18509	0	-8.9072
PLA2G15	2	0.00094147	0.0018171	0.695545	49	2	-9.6121	0.99906	0.99905	0.999981	18508	0	-9.6121
LY9	3	0.00094592	0.0027317	0.822307	50	3	-5.9974	0.99905	0.99907	0.999981	18507	0	-5.9974
NLRP8	1	0.00096371	0.00095009	0.639821	51	1	-11.557	0.99904	0.99905	0.999981	18506	0	-11.557
ARL14	2	0.00097384	0.0018764	0.695545	52	2	-6.9639	0.97712	0.97727	0.99771	18029	0	-6.9639
NDUFS7	3	0.001003	0.0028775	0.822307	53	3	-4.0541	0.999	0.99901	0.999981	18505	0	-4.0541
CEACAM6	3	0.0010183	0.0029283	0.822307	54	2	-9.7189	0.68195	0.68195	0.923281	11886	0	-9.7189
ID3	4	0.0011187	0.0040373	0.849692	55	2	-3.1309	0.7829	0.78269	0.923281	13917	0	-3.1309
ACAD8	4	0.0011501	0.0041478	0.849692	56	3	-6.8915	0.7829	0.78269	0.923281	13800	0	-6.8915
SLC25A21	3	0.0012119	0.0034715	0.849692	57	1	0.020264	0.68195	0.68195	0.923281	13310	0	0.020264
ZNF19	1	0.0012124	0.0011814	0.639821	58	1	-11.28	0.99879	0.99882	0.999981	18504	0	-11.28
ACTR2	3	0.001274	0.0036409	0.849692	59	3	-4.7605	0.99725	0.99728	0.999981	18467	0	-4.7605
CCDC112	1	0.0012746	0.001253	0.639821	60	1	-11.418	0.99873	0.99875	0.999981	18503	0	-11.418
SPRY3	4	0.0012843	0.0046019	0.849692	61	2	-1.1367	0.4701	0.46986	0.923281	7640	0	-1.1367
KCNG1	3	0.001286	0.0036729	0.849692	62	2	-8.6579	0.68195	0.68195	0.923281	12149	0	-8.6579
SLC35E2B	1	0.001316	0.0012957	0.639821	63	1	-10.392	0.99868	0.99872	0.999981	18502	0	-10.392
MAP1B	3	0.0013708	0.0039	0.849692	64	3	-3.9703	0.99863	0.99866	0.999981	18501	0	-3.9703
ZNF799	3	0.0013987	0.0039641	0.849692	65	2	-8.5807	0.13107	0.13122	0.915138	2262	1	-8.5807
KRT83	2	0.0014314	0.0027942	0.822307	66	2	-7.6566	0.99857	0.99856	0.999981	18500	0	-7.6566
TECTB	2	0.00149	0.0029186	0.822307	67	2	-8.552	0.99851	0.9985	0.999981	18499	0	-8.552
C15orf39	4	0.0014942	0.0053274	0.849692	68	4	-2.7171	0.99851	0.99847	0.999981	18493	0	-2.7171
XYLB	4	0.0014942	0.0053274	0.849692	69	4	-3.9485	0.99851	0.99847	0.999981	18495	0	-3.9485
CELA3A	4	0.0014942	0.0053274	0.849692	70	4	-5.9843	0.99851	0.99847	0.999981	18496	0	-5.9843
KRTAP19-8	4	0.0014942	0.0053274	0.849692	71	4	-3.8434	0.99851	0.99847	0.999981	18497	0	-3.8434
CLDN19	4	0.0014942	0.0053274	0.849692	72	4	-2.2766	0.99851	0.99847	0.999981	18498	0	-2.2766
SMOC1	4	0.0014942	0.0053274	0.849692	73	4	-1.9849	0.99851	0.99847	0.999981	18494	0	-1.9849
VGLL1	3	0.0015239	0.0043183	0.849692	74	3	-7.4718	0.99848	0.9985	0.999981	18492	0	-7.4718
COL24A1	3	0.0015239	0.0043183	0.849692	75	3	-7.2015	0.99848	0.9985	0.999981	18491	0	-7.2015
ZFP14	3	0.0015239	0.0043183	0.849692	76	3	-4.6309	0.99848	0.9985	0.999981	18490	0	-4.6309
CATSPER1	3	0.0015949	0.0045319	0.849692	77	3	-3.5665	0.99841	0.99844	0.999981	18489	0	-3.5665
AHNAK2	1	0.0016062	0.0015746	0.678678	78	1	-10.864	0.99839	0.99843	0.999981	18488	0	-10.864
USP50	3	0.0016211	0.0046078	0.849692	79	2	-8.8509	0.91368	0.91376	0.97872	16942	0	-8.8509
LRFN2	3	0.0016467	0.0046805	0.849692	80	1	0.020264	0.68195	0.68195	0.923281	12414	0	0.020264
PARVG	4	0.001667	0.005939	0.849692	81	3	-4.9019	0.48897	0.48873	0.923281	7722	0	-4.9019
TP53AIP1	3	0.0017088	0.0048621	0.849692	82	1	-0.98997	0.68195	0.68195	0.923281	13432	0	-0.98997
TSPY3	4	0.0017128	0.0060945	0.849692	83	3	-5.0749	0.96185	0.96192	0.994548	17896	0	-5.0749
DDIT4L	2	0.0017608	0.0034683	0.849692	84	1	-5.2689	0.30889	0.30885	0.915138	5266	0	-5.2689
ZNF408	4	0.0017812	0.0063397	0.849692	85	1	-0.48486	0.35658	0.35595	0.915138	6645	0	-0.48486
MSANTD2	1	0.0017927	0.0017557	0.695545	86	1	-11.159	0.99821	0.99823	0.999981	18487	0	-11.159
PDXP	2	0.0018396	0.003627	0.849692	87	2	-8.166	0.99816	0.99812	0.999981	18486	0	-8.166
RSC1A1	2	0.0018437	0.003635	0.849692	88	1	-5.6587	0.53406	0.53436	0.923281	9432	0	-5.6587
TPCN1	4	0.0018639	0.0066266	0.849692	89	2	-2.6464	0.7829	0.78269	0.923281	13990	0	-2.6464
B3GAT1	4	0.0018764	0.0066741	0.849692	90	4	-5.2637	0.9888	0.9888	0.999945	18286	0	-5.2637
PWWP2B	4	0.0018847	0.0067019	0.849692	91	2	-4.7583	0.35658	0.35595	0.915138	6581	0	-4.7583
ZFP41	3	0.0019572	0.0055614	0.849692	92	1	-0.98997	0.68195	0.68195	0.923281	12632	0	-0.98997
RBP7	2	0.0019588	0.0038604	0.849692	93	2	-9.0219	0.99804	0.99801	0.999981	18485	0	-9.0219
GNL3L	3	0.0019644	0.0055785	0.849692	94	3	-3.8772	0.99804	0.99808	0.999981	18483	0	-3.8772
PCYT1B	3	0.0019644	0.0055785	0.849692	95	3	-3.1521	0.99804	0.99808	0.999981	18484	0	-3.1521
ANKDD1B	2	0.0019679	0.0038818	0.849692	96	1	-4.9635	0.19787	0.19774	0.915138	3821	0	-4.9635
PTPN3	3	0.0020193	0.005719	0.849692	97	2	-0.98997	0.91368	0.91376	0.97872	16802	0	-0.98997
GSN	4	0.002024	0.0072073	0.849692	98	3	-4.532	0.7829	0.78269	0.923281	14111	0	-4.532
HNRNPA2B1	4	0.0020295	0.0072286	0.849692	99	3	-1.9387	0.7829	0.78269	0.923281	14139	0	-1.9387
ZNF746	2	0.0020507	0.0040474	0.849692	100	2	-6.2551	0.96135	0.96143	0.994548	17670	0	-6.2551
GJC3	2	0.0020535	0.0040522	0.849692	101	2	-7.9327	0.99795	0.99791	0.999981	18482	0	-7.9327
GRIN1	3	0.0020814	0.0058776	0.849692	102	1	-0.98997	0.91368	0.91376	0.97872	16540	0	-0.98997
CCL26	4	0.0021123	0.0075369	0.849692	103	2	-0.27054	0.7829	0.78269	0.923281	14294	0	-0.27054
IFNA7	3	0.0021344	0.0060208	0.849692	104	3	-5.4398	0.99787	0.99791	0.999981	18481	0	-5.4398
F9	3	0.0021435	0.00604	0.849692	105	2	-5.1097	0.68195	0.68195	0.923281	12078	0	-5.1097
ANO5	4	0.0021637	0.0077254	0.849692	106	4	-2.1454	0.99784	0.99784	0.999981	18480	0	-2.1454
DMKN	2	0.0021667	0.0042814	0.849692	107	2	-7.4798	0.99783	0.9978	0.999981	18479	0	-7.4798
KRTAP4-6	4	0.0021744	0.0077628	0.849692	108	2	-5.266	0.35658	0.35595	0.915138	6449	0	-5.266
KRTAP5-5	2	0.0021749	0.004299	0.849692	109	1	-5.2245	0.30889	0.30885	0.915138	5345	0	-5.2245
USP34	3	0.0022092	0.0062275	0.849692	110	3	-8.025	0.97982	0.97995	0.99771	18060	0	-8.025
USP19	3	0.0022425	0.0063151	0.849692	111	3	-8.9078	0.99618	0.99623	0.999981	18453	0	-8.9078
RHOXF2B	1	0.0022487	0.0022108	0.766458	112	1	-10.083	0.99775	0.99776	0.999981	18478	0	-10.083
CDH11	4	0.0022488	0.0080342	0.849692	113	3	-4.7632	0.35658	0.35595	0.915138	6794	0	-4.7632
ANOS1	3	0.0022491	0.0063333	0.849692	114	2	-8.5784	0.91368	0.91376	0.97872	16932	0	-8.5784
MAMSTR	4	0.0022678	0.0080956	0.849692	115	4	-1.9319	0.99773	0.99774	0.999981	18476	0	-1.9319
MESDC2	4	0.0022678	0.0080956	0.849692	116	4	-1.5882	0.99773	0.99774	0.999981	18477	0	-1.5882
ATP13A2	4	0.0022678	0.0080956	0.849692	117	4	-4.1434	0.99773	0.99774	0.999981	18475	0	-4.1434
SNCA	3	0.0022894	0.0064359	0.849692	118	3	-7.9612	0.97982	0.97995	0.99771	18144	0	-7.9612
CTBS	3	0.0022939	0.0064476	0.849692	119	3	-4.9347	0.99771	0.99775	0.999981	18474	0	-4.9347
PLA2G12B	3	0.0023297	0.0065587	0.849692	120	1	-0.98997	0.68195	0.68195	0.923281	11875	0	-0.98997
ASCL5	4	0.0023606	0.0084151	0.849692	121	3	-2.3442	0.17082	0.17154	0.915138	2743	1	-2.3442
PHOSPHO2	1	0.002373	0.002339	0.766458	122	1	-10.716	0.99763	0.99765	0.999981	18473	0	-10.716
ZNF326	1	0.0023937	0.0023572	0.766458	123	1	-10.042	0.99761	0.99763	0.999981	18472	0	-10.042
IZUMO1	4	0.0024433	0.0086923	0.849692	124	1	-0.98997	0.7829	0.78269	0.923281	14524	0	-0.98997
HPDL	3	0.0024539	0.0068851	0.849692	125	1	0.020264	0.68195	0.68195	0.923281	12681	0	0.020264
TTC4	1	0.0024559	0.0024229	0.77424	126	1	-10.797	0.99754	0.99757	0.999981	18471	0	-10.797
SEMG1	3	0.002489	0.0069829	0.849692	127	2	-8.423	0.91368	0.91376	0.97872	16834	0	-8.423
SLURP1	4	0.0025196	0.0089418	0.849692	128	3	-3.8066	0.52237	0.52197	0.923281	7795	0	-3.8066
SLC22A23	4	0.002526	0.0089627	0.849692	129	1	-0.48486	0.35658	0.35595	0.915138	7041	0	-0.48486
UCK2	3	0.002574	0.0072089	0.849692	130	3	-7.84	0.9924	0.9925	0.999945	18332	0	-7.84
MEF2C	3	0.0026062	0.007297	0.849692	131	3	-8.3483	0.97982	0.97995	0.99771	18162	0	-8.3483
NIT1	3	0.0026134	0.0073146	0.849692	132	2	-8.4929	0.68195	0.68195	0.923281	13298	0	-8.4929
BTBD6	2	0.0027363	0.0053936	0.849692	133	2	-7.7813	0.99726	0.99722	0.999981	18470	0	-7.7813
NR1D2	3	0.0027548	0.0076966	0.849692	134	3	-2.7901	0.99725	0.99728	0.999981	18469	0	-2.7901
ZNF735	3	0.0027548	0.0076966	0.849692	135	3	-6.6492	0.99725	0.99728	0.999981	18468	0	-6.6492
IGF2BP2	4	0.0027605	0.0097538	0.849692	136	3	-6.2555	0.7829	0.78269	0.923281	14131	0	-6.2555
ALX1	3	0.0027814	0.007773	0.849692	137	3	-8.2395	0.97982	0.97995	0.99771	18119	0	-8.2395
CERCAM	4	0.0027829	0.0098436	0.849692	138	4	-5.038	0.9945	0.99452	0.999945	18389	0	-5.038
EID2	3	0.0028263	0.0078953	0.849692	139	1	-0.98997	0.91368	0.91376	0.97872	16763	0	-0.98997
HSD17B6	2	0.0028787	0.0056661	0.849692	140	1	-5.3561	0.53406	0.53436	0.923281	9039	0	-5.3561
CTNND1	4	0.0029397	0.010395	0.849692	141	1	0.1868	0.35658	0.35595	0.915138	6510	0	0.1868
BPY2B	1	0.0029533	0.0029106	0.822307	142	1	-10.797	0.99705	0.99708	0.999981	18466	0	-10.797
TSC22D4	4	0.0029787	0.010516	0.849692	143	3	-4.6018	0.35658	0.35595	0.915138	6364	0	-4.6018
HIST1H2BE	3	0.002991	0.0083526	0.849692	144	3	-5.6978	0.99701	0.99704	0.999981	18465	0	-5.6978
LPPR3	3	0.0029967	0.0083681	0.849692	145	2	-8.5836	0.68195	0.68195	0.923281	11896	0	-8.5836
OR2AE1	3	0.0030125	0.0084098	0.849692	146	2	-0.56134	0.13107	0.13122	0.915138	2473	1	-0.56134
ZNF367	3	0.0030198	0.0084284	0.849692	147	2	-8.5043	0.052013	0.057227	0.915138	1069	1	-8.5043
BTBD19	2	0.0030442	0.0059722	0.849692	148	1	-5.2535	0.19787	0.19774	0.915138	3052	0	-5.2535
KRTAP4-3	3	0.0031047	0.0086582	0.849692	149	3	-5.6241	0.9969	0.99692	0.999981	18464	0	-5.6241
ZNF729	3	0.0031159	0.0086913	0.849692	150	3	-2.4309	0.99688	0.99691	0.999981	18463	0	-2.4309
